Age,work_class,income,education,education_num,martal_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours-per-week,native-country
37,Private,144246,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
31,Private,136505,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States
43,Self-emp-not-inc,137397,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States
40,Private,246047,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
44,Private,131503,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
47,Private,212035,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras
42,Private,260038,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
33,Private,205384,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
43,Federal-gov,280442,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
48,Self-emp-not-inc,305055,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States
76,Private,197007,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
47,Self-emp-not-inc,137796,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
38,Private,229416,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
38,Federal-gov,130565,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran
44,Self-emp-inc,125665,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States
45,Self-emp-not-inc,165919,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
46,State-gov,241387,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States
31,Private,130675,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
58,State-gov,349860,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States
40,Federal-gov,142688,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States
35,Private,193122,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States
26,Private,144845,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States
53,Local-gov,59407,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States
