Age_Group,Purchase_Intention
Younger,High
Younger,Medium
Older,Medium
Younger,High
Younger,High
Younger,Medium
Older,Low
Older,Low
Younger,Medium
Older,Medium
Younger,Low
Older,High
Older,Low
Younger,Low
Older,High
Older,Medium
Older,Medium
Younger,High
Older,Medium
Older,Medium
Older,High
Older,Medium
Older,Low
Younger,Low
Younger,High
Younger,Low
Younger,Low
Older,Medium
Older,Low
Older,Medium
Younger,Low
Older,Medium
Younger,High
Older,Low
Younger,Low
Older,Medium
Older,High
Younger,Medium
Younger,Low
Older,High
Younger,Low
Older,Low
Younger,Low
Younger,High
Older,Medium
Older,Low
Older,High
Younger,High
Older,Low
Older,Low
Younger,High
Younger,High
Older,Low
Older,Medium
Older,High
Younger,Medium
Older,Low
Younger,High
Older,Low
Older,Low
Younger,Low
Younger,High
Older,Low
Younger,Low
Younger,Low
Older,High
Younger,Low
Younger,High
Younger,Medium
Younger,Medium
Older,Medium
Older,Low
Older,Low
Younger,Low
Younger,High
Younger,Low
Older,Low
Older,Low
Younger,Medium
Younger,Medium
Older,High
Older,High
Younger,High
Younger,Low
Older,High
Younger,Low
Older,Low
Younger,Low
Younger,Low
Younger,Medium
Older,High
Younger,Medium
Older,Medium
Older,Medium
Older,Medium
Younger,Low
Younger,Low
Younger,Low
Older,Low
Younger,Medium
Older,Medium
Older,Low
Older,Medium
Younger,High
Younger,High
Younger,Medium
Younger,Medium
Older,Low
Younger,Medium
Older,Medium
Younger,Medium
Older,Low
Younger,Low
Younger,Low
Younger,High
Older,Low
Younger,High
Older,Low
Younger,High
Younger,Low
Younger,Low
Older,Medium
Younger,High
Older,Low
Younger,Medium
Younger,Medium
Older,Medium
Older,Medium
Older,Low
Younger,High
Older,Low
Older,Low
Younger,Medium
Younger,Low
Older,High
Older,Medium
Younger,Low
Older,Medium
Older,Medium
Older,Low
Younger,Medium
Younger,High
Younger,Medium
Older,Low
Younger,Low
Younger,Low
Older,Low
Older,Medium
Older,Low
Older,Low
Older,Low
Younger,High
Younger,Low
Older,Medium
Older,Medium
Older,Medium
Younger,Low
Younger,Medium
Older,Low
Younger,Low
Older,Medium
Older,High
Younger,Medium
Older,Medium
Older,Low
Younger,High
Older,Medium
Younger,Low
Older,High
Older,Low
Younger,Medium
Older,Low
Older,Low
Younger,High
Older,Low
Younger,Medium
Younger,Medium
Younger,Medium
Older,Low
Younger,Medium
Older,High
Younger,Low
Younger,Medium
Older,Medium
Younger,High
Younger,Medium
Older,Low
Younger,Medium
Younger,Medium
Younger,High
Older,Medium
Older,Medium
Older,Low
Younger,Medium
Younger,Medium
Older,Low
Younger,Low
Older,Medium
Older,Low
Older,Medium
Younger,Medium
Younger,Medium
Older,Low
Younger,High
Younger,High
Younger,High
Younger,Low
Older,High
Older,High
Younger,High
Older,Low
Older,High
Younger,High
Older,Medium
Older,Low
Older,High
Older,Medium
Older,High
Older,Medium
Older,High
Younger,Low
Younger,High
Older,Medium
Younger,Medium
Younger,Medium
Younger,Medium
Older,Low
Younger,Low
Younger,Medium
Younger,Low
Younger,Low
Older,High
Older,High
Older,Low
Older,High
Younger,High
Younger,High
Older,Low
Older,Medium
Older,Medium
Younger,Medium
Older,Medium
Older,Low
Older,Low
Younger,Medium
Older,High
Older,Medium
Younger,Medium
Younger,Low
Older,Low
Younger,Medium
Older,Low
Younger,Low
Older,High
Younger,Medium
Older,Low
Younger,Medium
Older,Medium
Younger,Low
Younger,Low
Older,High
Younger,Medium
Younger,High
Younger,Low
Younger,Low
Younger,High
Older,Low
Younger,Medium
Older,Low
Younger,Medium
Older,Low
Older,Low
Older,Low
Younger,High
Younger,Medium
Older,High
Older,Low
Younger,Medium
Older,High
Younger,Medium
Younger,High
Younger,Low
Younger,High
Younger,Low
Older,Low
Younger,High
Younger,Low
Older,Low
Older,Medium
Younger,High
Younger,Medium
Older,Medium
Younger,Medium
Older,Low
Younger,Low
Older,Low
Older,High
Older,Low
Older,Low
Younger,High
Older,High
Older,Low
Older,High
Younger,High
Older,Low
Younger,Medium
Younger,High
Younger,Low
Younger,High
Older,Medium
Older,Medium
Younger,Low
Older,Low
Younger,High
Older,Medium
Younger,Medium
Younger,Low
Older,Medium
Older,Medium
Older,Low
Older,High
Younger,High
Older,Medium
Younger,Low
Older,Medium
Younger,Low
Older,Medium
Younger,Medium
Younger,Low
Younger,Low
Younger,Low
Older,Low
Younger,Medium
Older,Medium
Younger,Medium
Older,Medium
Older,Medium
Younger,Low
Younger,High
Younger,Medium
Younger,Medium
Older,Low
Younger,High
Older,High
Younger,Medium
Older,Low
Younger,Medium
Younger,Medium
Younger,High
Older,Medium
Younger,Medium
Younger,High
Older,Medium
Younger,High
Older,Low
Older,Low
Older,Medium
Younger,Medium
Older,Low
Older,Low
Older,Low
Older,High
Older,Low
Younger,Low
Older,Medium
Younger,Low
Younger,Medium
Older,Low
Younger,Low
Younger,High
Older,Low
Older,Medium
Younger,Medium
Younger,Medium
Younger,High
Younger,Low
Younger,Low
Older,Low
Older,Medium
Older,Medium
Younger,Medium
Younger,High
Older,Low
Younger,High
Older,High
Older,Low
Younger,Medium
Older,Low
Older,Low
Younger,High
Younger,High
Younger,Low
Older,Low
Younger,High
Younger,Medium
Younger,Low
Younger,Low
Younger,Low
Younger,Medium
Younger,Medium
Older,High
Older,Low
Younger,Medium
Older,Medium
Younger,Low
Younger,Medium
Older,Low
Older,Low
Older,High
Older,Low
Younger,Medium
Younger,Low
Older,Low
Younger,Medium
Older,Medium
Older,Medium
Older,Medium
Younger,High
Older,High
Younger,Medium
Older,Low
Older,Medium
Younger,High
Younger,High
Younger,Medium
Older,Low
Older,High
Older,Low
Older,High
Older,High
Younger,Medium
Younger,Medium
Younger,Medium
Older,High
Older,Medium
Older,Low
Younger,High
Younger,Medium
Older,Low
Older,Low
Younger,Medium
Older,Medium
Older,Low
Younger,High
Older,High
Younger,High
Younger,Medium
Younger,Low
Older,Low
Younger,Medium
Older,Low
Younger,High
Younger,Medium
Younger,High
Older,Low
Younger,Medium
Older,Low
Younger,Medium
Older,High
Younger,Low
Older,Medium
Older,Low
Older,High
Older,Low
Younger,Medium
Older,Low
Younger,Low
Younger,High
Younger,High
Younger,Medium
Older,Low
Older,Medium
Older,Medium
Older,Low
Older,Low
Older,Low
Older,Medium
Older,High
Older,Low
Younger,Low
Older,High
Older,Low
Younger,Low
Younger,Medium
Younger,Medium
Older,Low
Older,High
Younger,High
Younger,Low
Older,Low
Older,Low
Younger,High
Younger,Medium
Older,Medium
Older,Medium
Younger,High
Younger,High
Older,Low
Younger,Low
Younger,Low
